cases,gamma
74.00,0.52
68.00,0.62
27.00,0.90
79.00,0.87
57.00,0.59
69.00,0.36
48.00,0.34
70.00,0.35
44.00,0.92
68.00,0.42
70.00,0.86
80.00,0.20
53.00,0.47
72.00,0.68
69.00,0.65
77.00,0.46
41.00,0.85
76.00,0.28
54.00,0.48
86.00,0.43
74.00,0.32
91.00,0.58
99.00,0.20
43.00,0.82
79.00,0.30
77.00,0.17
116.00,0.19
85.00,0.61
56.00,0.71
35.00,0.33
77.00,0.80
42.00,0.89
68.00,0.67
94.00,0.28
56.00,0.74
83.00,0.24
86.00,0.50
52.00,0.92
73.00,0.39
56.00,0.33
57.00,0.32
67.00,0.68
69.00,0.68
54.00,0.81
51.00,0.95
64.00,0.63
75.00,0.64
69.00,0.64
66.00,0.43
51.00,0.83
50.00,0.82
72.00,0.72
81.00,0.35
90.00,0.24
50.00,0.21
67.00,0.86
75.00,0.31
60.00,0.56
42.00,0.37
91.00,0.18
40.00,0.96
91.00,0.73
108.00,0.34
33.00,0.90
82.00,0.59
47.00,0.66
79.00,0.23
46.00,0.57
56.00,0.44
67.00,0.69
70.00,0.25
93.00,0.32
42.00,0.93
53.00,0.87
85.00,0.56
66.00,0.25
87.00,0.20
79.00,0.23
59.00,0.41
105.00,0.56
78.00,0.79
48.00,0.90
72.00,0.20
66.00,0.38
70.00,0.94
62.00,0.52
38.00,0.94
45.00,0.89
79.00,0.26
72.00,0.64
67.00,0.69
77.00,0.48
89.00,0.62
90.00,0.21
105.00,0.46
110.00,0.22
61.00,0.44
92.00,0.26
54.00,0.81
59.00,0.66
75.00,0.66
75.00,0.49
59.00,0.74
45.00,0.98
53.00,0.89
73.00,0.73
51.00,0.33
73.00,0.40
54.00,0.59
78.00,0.76
79.00,0.63
37.00,0.34
54.00,0.30
60.00,0.58
71.00,0.26
69.00,0.58
68.00,0.62
93.00,0.70
70.00,0.76
98.00,0.47
64.00,0.65
49.00,0.97
45.00,0.84
61.00,0.53
91.00,0.57
66.00,0.54
58.00,0.44
65.00,0.85
81.00,0.29
70.00,0.68
68.00,0.34
91.00,0.30
44.00,0.93
33.00,0.81
36.00,0.68
79.00,0.33
78.00,0.25
90.00,0.18
64.00,0.44
80.00,0.29
45.00,0.29
85.00,0.58
86.00,0.39
85.00,0.47
51.00,0.89
73.00,0.38
70.00,0.34
82.00,0.41
67.00,0.18
71.00,0.78
70.00,0.48
83.00,0.76
55.00,0.72
91.00,0.25
101.00,0.48
51.00,0.55
91.00,0.53
75.00,0.34
53.00,0.36
107.00,0.49
47.00,0.94
78.00,0.38
73.00,0.54
97.00,0.31
114.00,0.35
59.00,0.47
106.00,0.52
67.00,0.71
91.00,0.33
57.00,0.67
56.00,0.92
78.00,0.21
83.00,0.31
78.00,0.65
49.00,0.62
89.00,0.28
108.00,0.32
78.00,0.23
51.00,0.65
57.00,0.90
78.00,0.49
54.00,0.72
72.00,0.55
49.00,0.79
49.00,0.25
87.00,0.48
114.00,0.32
90.00,0.64
62.00,0.65
74.00,0.72
69.00,0.71
77.00,0.50
94.00,0.47
72.00,0.47
71.00,0.77
47.00,0.98
59.00,0.48
79.00,0.22
40.00,0.93
60.00,0.94
63.00,0.88
72.00,0.58
52.00,0.96
76.00,0.85
95.00,0.61
73.00,0.79
72.00,0.31
40.00,0.85
52.00,0.85
81.00,0.21
46.00,0.98
69.00,0.59
55.00,0.77
57.00,0.38
79.00,0.67
65.00,0.21
60.00,0.87
61.00,0.86
78.00,0.39
84.00,0.28
72.00,0.60
40.00,0.86
61.00,0.55
45.00,0.75
60.00,0.87
59.00,0.83
60.00,0.83
103.00,0.19
58.00,0.98
74.00,0.56
72.00,0.68
50.00,0.40
86.00,0.20
79.00,0.22
90.00,0.77
69.00,0.26
58.00,0.87
74.00,0.43
58.00,0.74
81.00,0.80
79.00,0.51
81.00,0.45
63.00,0.57
53.00,0.30
78.00,0.76
45.00,0.84
89.00,0.33
75.00,0.46
38.00,0.82
74.00,0.62
46.00,0.89
82.00,0.87
85.00,0.36
67.00,0.50
64.00,0.69
50.00,0.92
104.00,0.63
77.00,0.36
81.00,0.19
60.00,0.28
54.00,0.75
71.00,0.62
56.00,0.85
78.00,0.54
45.00,0.87
45.00,0.98
48.00,0.99
81.00,0.58
91.00,0.35
51.00,0.93
102.00,0.48
67.00,0.65
54.00,0.40
33.00,0.90
98.00,0.23
56.00,0.74
58.00,0.72
43.00,0.83
42.00,0.76
49.00,0.67
42.00,0.95
100.00,0.27
82.00,0.65
126.00,0.42
72.00,0.81
44.00,0.98
63.00,0.21
57.00,0.87
76.00,0.75
57.00,0.86
66.00,0.41
37.00,0.94
69.00,0.35
61.00,0.75
65.00,0.46
65.00,0.30
33.00,0.99
48.00,0.96
60.00,0.79
83.00,0.50
53.00,0.60
90.00,0.18
63.00,0.49
40.00,0.96
76.00,0.63
83.00,0.33
76.00,0.41
81.00,0.43
99.00,0.47
90.00,0.25
58.00,0.63
44.00,0.72
80.00,0.80
96.00,0.36
57.00,0.34
68.00,0.47
85.00,0.40
62.00,0.95
108.00,0.54
111.00,0.58
57.00,0.89
44.00,0.93
89.00,0.53
99.00,0.24
48.00,0.82
94.00,0.32
55.00,0.99
53.00,0.80
72.00,0.71
70.00,0.74
61.00,0.54
57.00,0.81
67.00,0.52
62.00,0.79
77.00,0.19
103.00,0.17
37.00,0.83
62.00,0.31
71.00,0.19
38.00,0.96
62.00,0.41
44.00,0.59
55.00,0.43
72.00,0.64
76.00,0.33
55.00,0.89
78.00,0.33
34.00,0.99
65.00,0.47
45.00,0.95
92.00,0.33
71.00,0.65
82.00,0.47
64.00,0.66
83.00,0.43
92.00,0.46
35.00,0.85
90.00,0.63
47.00,0.83
48.00,0.54
74.00,0.20
54.00,0.85
85.00,0.55
70.00,0.70
61.00,0.47
97.00,0.24
51.00,0.62
78.00,0.19
55.00,0.81
65.00,0.58
75.00,0.76
48.00,0.95
73.00,0.42
34.00,0.71
60.00,0.83
66.00,0.64
61.00,0.39
64.00,0.55
61.00,0.77
49.00,0.82
62.00,0.17
67.00,0.60
66.00,0.55
49.00,0.96
53.00,0.85
73.00,0.59
67.00,0.17
79.00,0.31
69.00,0.87
77.00,0.83
93.00,0.20
61.00,0.24
89.00,0.57
78.00,0.54
85.00,0.64
79.00,0.34
82.00,0.49
77.00,0.79
76.00,0.25
75.00,0.49
75.00,0.21
51.00,0.50
91.00,0.23
63.00,0.84
66.00,0.64
68.00,0.78
84.00,0.62
90.00,0.26
37.00,0.75
59.00,0.61
56.00,0.69
97.00,0.44
89.00,0.47
64.00,0.42
41.00,0.99
51.00,0.77
70.00,0.48
77.00,0.18
65.00,0.62
69.00,0.87
93.00,0.38
60.00,0.88
85.00,0.36
77.00,0.42
98.00,0.43
77.00,0.80
79.00,0.30
53.00,0.89
52.00,0.93
60.00,0.79
89.00,0.36
46.00,0.92
67.00,0.18
109.00,0.33
70.00,0.69
38.00,0.81
33.00,0.90
82.00,0.22
49.00,0.93
72.00,0.75
74.00,0.35
71.00,0.61
57.00,0.71
68.00,0.60
83.00,0.29
82.00,0.56
75.00,0.68
73.00,0.18
106.00,0.28
46.00,0.69
91.00,0.23
71.00,0.58
69.00,0.37
68.00,0.46
60.00,0.59
109.00,0.33
51.00,0.95
56.00,0.88
61.00,0.40
78.00,0.19
74.00,0.24
59.00,0.66
44.00,0.97
77.00,0.51
87.00,0.24
47.00,0.84
52.00,0.84
50.00,0.84
89.00,0.20
54.00,0.66
71.00,0.23
88.00,0.24
52.00,0.39
96.00,0.30
51.00,0.74
47.00,0.67
55.00,0.76
46.00,0.96
75.00,0.38
89.00,0.44
45.00,0.93
97.00,0.40
86.00,0.33
52.00,0.55
66.00,0.41
54.00,0.58
92.00,0.71
53.00,0.73
85.00,0.22
85.00,0.54
66.00,0.65
92.00,0.63
50.00,0.58
73.00,0.64
97.00,0.57
103.00,0.27
68.00,0.74
65.00,0.76
71.00,0.66
46.00,0.71
65.00,0.66
79.00,0.66
52.00,0.87
100.00,0.55
65.00,0.67
87.00,0.24
56.00,0.89
74.00,0.22
91.00,0.24
72.00,0.66
53.00,0.80
64.00,0.51
80.00,0.23
70.00,0.20
40.00,0.89
55.00,0.93
68.00,0.66
75.00,0.63
28.00,0.99
48.00,0.74
83.00,0.27
64.00,0.76
63.00,0.62
79.00,0.55
71.00,0.74
54.00,0.77
76.00,0.67
74.00,0.61
71.00,0.56
51.00,0.85
61.00,0.73
59.00,0.95
60.00,0.50
51.00,0.67
43.00,0.57
39.00,0.78
61.00,0.59
67.00,0.25
67.00,0.40
75.00,0.32
69.00,0.88
115.00,0.40
81.00,0.60
95.00,0.19
40.00,0.81
35.00,0.99
44.00,0.93
79.00,0.30
64.00,0.70
70.00,0.78
47.00,1.00
83.00,0.40
50.00,0.95
92.00,0.20
47.00,0.97
86.00,0.21
99.00,0.21
97.00,0.28
93.00,0.25
56.00,0.41
76.00,0.45
96.00,0.22
71.00,0.61
62.00,0.78
62.00,0.82
32.00,0.92
91.00,0.21
52.00,0.87
48.00,0.93
84.00,0.21
80.00,0.31
47.00,0.98
79.00,0.30
78.00,0.26
51.00,0.48
88.00,0.33
57.00,0.96
64.00,0.89
75.00,0.66
47.00,0.90
62.00,0.81
79.00,0.62
53.00,0.85
54.00,0.64
58.00,0.47
57.00,0.86
92.00,0.49
94.00,0.53
63.00,0.26
66.00,0.27
72.00,0.63
89.00,0.22
32.00,0.95
68.00,0.73
83.00,0.76
82.00,0.62
86.00,0.43
61.00,0.42
55.00,0.86
78.00,0.57
110.00,0.25
47.00,0.95
51.00,0.60
86.00,0.53
59.00,0.56
64.00,0.67
98.00,0.44
59.00,0.78
74.00,0.34
93.00,0.33
47.00,0.93
30.00,0.92
32.00,0.84
90.00,0.28
61.00,0.98
51.00,0.74
121.00,0.45
77.00,0.44
42.00,0.91
102.00,0.22
69.00,0.35
70.00,0.33
38.00,0.99
74.00,0.24
72.00,0.36
63.00,0.66
34.00,0.99
124.00,0.26
115.00,0.21
80.00,0.24
84.00,0.37
47.00,0.95
66.00,0.62
96.00,0.68
45.00,0.81
93.00,0.30
73.00,0.56
76.00,0.61
47.00,0.80
103.00,0.17
56.00,0.83
75.00,0.62
84.00,0.40
76.00,0.50
86.00,0.26
42.00,0.83
66.00,0.81
74.00,0.72
46.00,0.41
79.00,0.40
47.00,0.52
68.00,0.34
96.00,0.75
82.00,0.43
77.00,0.55
69.00,0.55
35.00,0.82
53.00,0.87
111.00,0.63
78.00,0.56
96.00,0.60
106.00,0.43
68.00,0.23
109.00,0.28
62.00,0.71
68.00,0.74
111.00,0.21
80.00,0.40
94.00,0.42
92.00,0.43
100.00,0.33
45.00,0.70
94.00,0.52
75.00,0.41
65.00,0.61
79.00,0.35
36.00,1.00
80.00,0.67
119.00,0.26
80.00,0.28
69.00,0.58
56.00,0.84
66.00,0.40
61.00,0.57
81.00,0.57
72.00,0.71
81.00,0.44
108.00,0.41
82.00,0.58
43.00,1.00
43.00,0.77
50.00,0.85
50.00,0.72
108.00,0.22
87.00,0.74
66.00,0.28
63.00,0.87
89.00,0.54
73.00,0.65
102.00,0.26
57.00,0.89
50.00,0.67
101.00,0.26
95.00,0.32
69.00,0.45
46.00,0.68
52.00,0.77
72.00,0.51
107.00,0.26
82.00,0.62
79.00,0.22
81.00,0.17
88.00,0.30
76.00,0.41
44.00,0.81
79.00,0.52
64.00,0.22
52.00,0.67
65.00,0.76
65.00,0.88
69.00,0.29
66.00,0.29
66.00,0.75
57.00,0.76
64.00,0.62
55.00,0.42
59.00,0.64
68.00,0.51
70.00,0.48
57.00,0.66
62.00,0.35
45.00,0.62
82.00,0.49
111.00,0.32
80.00,0.34
55.00,0.86
76.00,0.52
86.00,0.33
63.00,0.42
89.00,0.55
83.00,0.41
80.00,0.27
77.00,0.42
52.00,0.99
52.00,0.92
70.00,0.35
67.00,0.75
66.00,0.69
74.00,0.55
41.00,0.85
30.00,0.88
92.00,0.25
67.00,0.56
60.00,0.94
79.00,0.45
75.00,0.64
52.00,0.56
82.00,0.31
90.00,0.37
71.00,0.69
59.00,0.68
112.00,0.60
67.00,0.17
84.00,0.26
105.00,0.30
98.00,0.55
103.00,0.20
67.00,0.73
109.00,0.36
85.00,0.28
86.00,0.43
70.00,0.73
87.00,0.45
105.00,0.33
72.00,0.40
81.00,0.25
40.00,0.59
69.00,0.81
38.00,0.93
78.00,0.35
95.00,0.19
80.00,0.62
85.00,0.26
68.00,0.44
48.00,0.64
60.00,0.30
57.00,0.74
82.00,0.53
26.00,0.98
69.00,0.71
70.00,0.63
65.00,0.81
53.00,0.26
37.00,0.99
97.00,0.54
113.00,0.35
62.00,0.31
61.00,0.39
79.00,0.33
74.00,0.32
64.00,0.79
86.00,0.29
55.00,0.50
62.00,0.54
50.00,0.84
98.00,0.74
74.00,0.58
115.00,0.18
131.00,0.19
50.00,0.81
68.00,0.84
92.00,0.31
37.00,0.80
73.00,0.56
83.00,0.41
70.00,0.29
67.00,0.39
74.00,0.73
48.00,0.87
85.00,0.35
53.00,0.81
59.00,0.30
67.00,0.61
38.00,0.99
40.00,0.75
45.00,0.92
50.00,0.76
94.00,0.31
87.00,0.43
57.00,0.33
91.00,0.40
61.00,0.48
73.00,0.48
68.00,0.70
51.00,0.89
49.00,0.81
39.00,0.40
45.00,0.99
46.00,0.92
75.00,0.54
55.00,0.98
78.00,0.54
80.00,0.19
57.00,0.38
84.00,0.31
105.00,0.32
77.00,0.62
48.00,0.77
116.00,0.35
65.00,0.74
72.00,0.66
74.00,0.40
61.00,0.90
86.00,0.29
83.00,0.62
109.00,0.26
88.00,0.59
77.00,0.53
80.00,0.54
45.00,0.27
68.00,0.18
85.00,0.29
49.00,0.99
48.00,0.77
76.00,0.62
77.00,0.30
45.00,0.70
44.00,0.82
64.00,0.89
85.00,0.24
94.00,0.35
50.00,0.95
84.00,0.60
62.00,0.40
85.00,0.48
90.00,0.44
86.00,0.38
97.00,0.38
105.00,0.24
32.00,1.00
45.00,0.89
87.00,0.23
79.00,0.30
52.00,0.64
49.00,0.87
62.00,0.42
56.00,0.61
58.00,0.69
97.00,0.35
63.00,0.83
75.00,0.19
71.00,0.40
47.00,0.63
75.00,0.57
71.00,0.52
49.00,0.61
59.00,0.18
44.00,0.75
55.00,0.77
53.00,0.78
100.00,0.17
109.00,0.31
45.00,0.77
41.00,0.89
57.00,0.59
84.00,0.31
47.00,0.88
65.00,0.40
99.00,0.68
87.00,0.20
58.00,0.78
79.00,0.52
68.00,0.45
65.00,0.77
56.00,0.97
48.00,0.84
122.00,0.45
69.00,0.93
67.00,0.78
75.00,0.18
64.00,0.49
78.00,0.77
74.00,0.45
62.00,0.62
53.00,0.93
52.00,0.77
57.00,0.75
48.00,0.88
52.00,0.78
106.00,0.26
65.00,0.68
89.00,0.61
74.00,0.49
45.00,0.83
47.00,0.83
59.00,0.58
80.00,0.30
61.00,0.42
86.00,0.50
71.00,0.67
80.00,0.49
50.00,0.96
51.00,0.62
54.00,0.91
61.00,0.58
70.00,0.67
53.00,0.84
68.00,0.23
63.00,0.80
75.00,0.37
79.00,0.18
34.00,0.97
56.00,0.44
70.00,0.77
81.00,0.49
98.00,0.20
102.00,0.57
39.00,0.82
54.00,0.89
53.00,0.82
80.00,0.26
65.00,0.24
59.00,0.80
45.00,0.82
98.00,0.49
94.00,0.51
80.00,0.53
67.00,0.20
42.00,0.57
51.00,0.38
77.00,0.79
83.00,0.25
66.00,0.25
80.00,0.60
79.00,0.29
84.00,0.58
38.00,0.95
79.00,0.40
96.00,0.24
70.00,0.40
43.00,0.95
64.00,0.53
54.00,0.93
83.00,0.69
71.00,0.58
80.00,0.51
58.00,0.41
89.00,0.31
88.00,0.75
51.00,0.34
70.00,0.21
83.00,0.64
93.00,0.47
57.00,0.39
31.00,1.00
51.00,0.84
49.00,0.56
72.00,0.23
50.00,0.92
70.00,0.60
54.00,0.26
81.00,0.29
61.00,0.69
84.00,0.41
50.00,0.93
55.00,0.35
91.00,0.29
75.00,0.36
105.00,0.38
65.00,0.60
108.00,0.26
72.00,0.59
48.00,0.59
62.00,0.57
48.00,0.94
70.00,0.20
59.00,0.95
51.00,0.82
72.00,0.72
67.00,0.87
52.00,0.36
72.00,0.29
59.00,0.77
102.00,0.25
66.00,0.51
57.00,0.60
50.00,0.96
101.00,0.21
71.00,0.71
45.00,0.70
85.00,0.59
69.00,0.43
89.00,0.41
86.00,0.35
64.00,0.42
89.00,0.21
54.00,0.79
54.00,0.83
57.00,0.77
60.00,0.96
68.00,0.73
72.00,0.79
70.00,0.74
71.00,0.52
65.00,0.82
57.00,0.77
100.00,0.31
75.00,0.49
48.00,0.98
51.00,0.76
39.00,0.95
69.00,0.59
67.00,0.55
73.00,0.34
62.00,0.55
87.00,0.48
59.00,0.65
101.00,0.59
64.00,0.72
50.00,0.75
77.00,0.46
72.00,0.61
47.00,0.98
46.00,0.95
61.00,0.60
55.00,0.58
59.00,0.61
71.00,0.63
35.00,0.98
84.00,0.59
62.00,0.87
75.00,0.51
71.00,0.48
100.00,0.42
91.00,0.56
38.00,0.95
68.00,0.72
57.00,0.56
83.00,0.60
46.00,0.80
57.00,0.88
54.00,0.70
120.00,0.26
52.00,0.61
85.00,0.62
43.00,0.51
76.00,0.21
78.00,0.30
85.00,0.36
70.00,0.79
88.00,0.19
69.00,0.95
55.00,0.97
86.00,0.39
63.00,0.79
80.00,0.33
36.00,0.63
58.00,0.66
69.00,0.32
79.00,0.34
84.00,0.52
61.00,0.64
84.00,0.56
70.00,0.36
63.00,0.80
71.00,0.25
71.00,0.84
58.00,0.96
76.00,0.38
76.00,0.33
64.00,0.70
81.00,0.84
49.00,0.85
50.00,0.94
56.00,0.69
25.00,0.89
102.00,0.24
59.00,0.28
52.00,0.93
81.00,0.65
84.00,0.21
97.00,0.38
60.00,0.91
30.00,1.00
51.00,0.96
87.00,0.30
93.00,0.19
73.00,0.37
63.00,0.86
80.00,0.30
73.00,0.37
57.00,0.94
81.00,0.36
93.00,0.19
103.00,0.25
83.00,0.54
36.00,0.98
54.00,0.69
54.00,0.73
83.00,0.39
61.00,0.51
79.00,0.29
50.00,0.79
67.00,0.37
86.00,0.36
84.00,0.53
49.00,0.22
84.00,0.22
75.00,0.49
63.00,0.84
95.00,0.36
78.00,0.66
62.00,0.92
80.00,0.22
65.00,0.53
72.00,0.30
97.00,0.55
65.00,0.78
53.00,0.47
61.00,0.74
63.00,0.80
56.00,0.68
76.00,0.49
65.00,0.53
47.00,0.95
104.00,0.21
57.00,0.34
86.00,0.18
75.00,0.51
90.00,0.22
73.00,0.72
34.00,0.97
100.00,0.55
93.00,0.23
69.00,0.54
82.00,0.71
75.00,0.62
74.00,0.22
59.00,0.90
101.00,0.23
80.00,0.68
69.00,0.43
38.00,0.97
51.00,0.87
60.00,0.68
98.00,0.19
58.00,0.71
69.00,0.48
43.00,0.87
67.00,0.37
30.00,0.95
86.00,0.25
75.00,0.21
79.00,0.40
46.00,0.55
66.00,0.81
102.00,0.32
103.00,0.25
82.00,0.26
88.00,0.30
56.00,0.66
69.00,0.57
94.00,0.51
60.00,0.36
84.00,0.23
45.00,1.00
71.00,0.42
67.00,0.75
40.00,0.83
71.00,0.49
79.00,0.33
64.00,0.94
67.00,0.42
61.00,0.37
94.00,0.39
66.00,0.75
71.00,0.23
56.00,0.56
34.00,0.83
54.00,0.86
78.00,0.68
53.00,0.77
74.00,0.68
76.00,0.46
56.00,0.68
34.00,0.88
59.00,0.70
80.00,0.50
51.00,0.78
68.00,0.41
81.00,0.59
39.00,0.99
57.00,0.63
95.00,0.21
105.00,0.37
71.00,0.72
105.00,0.23
77.00,0.45
90.00,0.45
69.00,0.79
52.00,0.90
97.00,0.37
73.00,0.32
63.00,0.58
69.00,0.69
81.00,0.58
43.00,0.58
48.00,0.88
89.00,0.44
57.00,0.39
63.00,0.64
73.00,0.33
94.00,0.24
74.00,0.67
88.00,0.63
78.00,0.35
73.00,0.69
71.00,0.30
47.00,0.80
71.00,0.39
73.00,0.34
104.00,0.25
100.00,0.70
34.00,0.95
63.00,0.99
67.00,0.40
73.00,0.77
87.00,0.32
78.00,0.24
60.00,0.71
77.00,0.82
69.00,0.56
51.00,0.53
93.00,0.63
51.00,0.89
76.00,0.75
62.00,0.74
66.00,0.83
49.00,0.50
60.00,0.71
63.00,0.67
60.00,0.88
54.00,0.90
100.00,0.42
43.00,1.00
55.00,0.81
43.00,0.95
58.00,0.57
47.00,1.00
75.00,0.72
91.00,0.21
64.00,0.49
62.00,0.62
106.00,0.51
36.00,0.99
93.00,0.54
52.00,0.83
107.00,0.34
54.00,0.77
63.00,0.68
88.00,0.62
69.00,0.63
71.00,0.21
78.00,0.29
61.00,0.92
94.00,0.30
38.00,0.62
72.00,0.60
77.00,0.68
113.00,0.26
50.00,0.98
43.00,0.85
90.00,0.51
56.00,0.54
89.00,0.35
77.00,0.81
68.00,0.74
57.00,0.86
58.00,0.76
80.00,0.73
42.00,0.93
85.00,0.32
58.00,0.81
69.00,0.63
67.00,0.60
78.00,0.54
93.00,0.35
83.00,0.53
110.00,0.29
78.00,0.41
40.00,0.97
98.00,0.44
83.00,0.54
56.00,0.54
86.00,0.21
97.00,0.43
44.00,0.86
63.00,0.28
63.00,0.22
81.00,0.60
71.00,0.54
70.00,0.45
115.00,0.42
62.00,0.76
68.00,0.47
68.00,0.46
90.00,0.66
73.00,0.77
79.00,0.74
94.00,0.59
86.00,0.20
83.00,0.56
85.00,0.39
65.00,0.42
67.00,0.35
97.00,0.38
76.00,0.74
49.00,0.99
57.00,0.21
85.00,0.31
92.00,0.46
55.00,0.97
65.00,0.36
106.00,0.52
46.00,0.74
80.00,0.27
62.00,0.40
44.00,0.64
60.00,0.68
43.00,0.95
44.00,1.00
56.00,0.55
53.00,0.87
77.00,0.26
66.00,0.88
70.00,0.89
58.00,0.92
78.00,0.49
52.00,0.94
40.00,0.60
69.00,0.64
47.00,0.79
52.00,0.60
50.00,0.80
48.00,0.94
48.00,0.96
96.00,0.54
81.00,0.58
84.00,0.38
70.00,0.27
72.00,0.27
50.00,0.99
72.00,0.34
43.00,0.98
92.00,0.21
34.00,0.77
40.00,0.96
100.00,0.73
49.00,0.65
34.00,0.96
53.00,0.85
39.00,0.47
92.00,0.22
54.00,0.17
114.00,0.54
78.00,0.72
55.00,0.91
62.00,0.53
67.00,0.79
75.00,0.76
83.00,0.56
79.00,0.23
66.00,0.80
87.00,0.46
55.00,0.63
93.00,0.56
77.00,0.26
61.00,0.82
66.00,0.37
39.00,0.84
55.00,0.66
90.00,0.42
69.00,0.60
96.00,0.36
94.00,0.58
46.00,1.00
57.00,0.73
93.00,0.30
92.00,0.17
93.00,0.52
93.00,0.34
114.00,0.19
45.00,0.76
66.00,0.23
97.00,0.20
87.00,0.40
48.00,0.97
95.00,0.63
62.00,0.38
81.00,0.18
42.00,0.21
44.00,0.76
76.00,0.34
67.00,0.80
51.00,0.95
90.00,0.20
60.00,0.75
43.00,0.88
40.00,1.00
75.00,0.72
54.00,0.88
37.00,0.79
78.00,0.24
70.00,0.68
84.00,0.45
55.00,0.98
77.00,0.59
80.00,0.72
51.00,0.69
64.00,0.52
55.00,0.90
67.00,0.21
49.00,0.93
77.00,0.67
58.00,0.83
94.00,0.19
70.00,0.20
78.00,0.63
47.00,0.74
77.00,0.61
52.00,0.86
65.00,0.28
49.00,0.82
65.00,0.27
61.00,0.27
39.00,0.94
73.00,0.50
102.00,0.35
69.00,0.73
57.00,0.96
75.00,0.51
90.00,0.49
80.00,0.19
66.00,0.60
92.00,0.17
104.00,0.28
93.00,0.18
72.00,0.34
70.00,0.49
42.00,0.90
74.00,0.53
38.00,0.99
42.00,0.20
104.00,0.71
73.00,0.69
68.00,0.80
79.00,0.56
62.00,0.69
61.00,0.75
30.00,0.87
62.00,0.68
82.00,0.18
58.00,0.52
78.00,0.47
61.00,0.47
41.00,0.97
96.00,0.77
68.00,0.25
55.00,0.85
69.00,0.51
54.00,0.22
42.00,0.79
90.00,0.56
75.00,0.69
86.00,0.48
72.00,0.23
71.00,0.28
99.00,0.40
103.00,0.31
60.00,0.83
64.00,0.72
70.00,0.45
93.00,0.41
74.00,0.24
47.00,0.82
49.00,0.92
54.00,0.87
73.00,0.63
73.00,0.79
86.00,0.29
93.00,0.33
80.00,0.58
64.00,0.52
71.00,0.38
96.00,0.49
49.00,0.36
75.00,0.61
58.00,0.65
53.00,0.25
62.00,0.67
60.00,0.67
65.00,0.76
63.00,0.48
92.00,0.25
44.00,0.92
49.00,0.52
50.00,0.47
55.00,0.57
70.00,0.56
108.00,0.39
47.00,0.87
103.00,0.43
119.00,0.24
68.00,0.97
90.00,0.69
73.00,0.91
93.00,0.55
89.00,0.37
87.00,0.24
81.00,0.69
84.00,0.28
37.00,0.57
34.00,0.99
73.00,0.28
65.00,0.77
76.00,0.64
63.00,0.92
48.00,0.89
55.00,0.44
71.00,0.53
72.00,0.69
76.00,0.35
84.00,0.38
66.00,0.39
75.00,0.32
75.00,0.74
78.00,0.71
106.00,0.64
31.00,0.95
72.00,0.33
52.00,0.79
61.00,0.48
53.00,0.87
75.00,0.66
70.00,0.51
73.00,0.33
61.00,0.63
50.00,0.97
31.00,0.98
33.00,0.73
88.00,0.29
113.00,0.32
82.00,0.17
39.00,1.00
109.00,0.30
62.00,0.49
72.00,0.36
43.00,0.96
47.00,0.98
71.00,0.38
112.00,0.38
79.00,0.25
102.00,0.63
75.00,0.29
84.00,0.22
81.00,0.55
80.00,0.57
52.00,0.87
51.00,0.99
45.00,0.89
92.00,0.39
78.00,0.68
112.00,0.53
69.00,0.73
55.00,0.33
74.00,0.30
55.00,0.79
85.00,0.58
47.00,0.95
53.00,0.92
95.00,0.20
38.00,0.91
72.00,0.20
57.00,0.56
63.00,0.24
43.00,0.86
72.00,0.59
61.00,0.66
58.00,0.66
48.00,0.76
84.00,0.41
39.00,0.79
64.00,0.60
54.00,0.84
82.00,0.21
55.00,0.40
89.00,0.18
62.00,0.48
64.00,0.74
83.00,0.53
60.00,0.72
55.00,0.51
51.00,0.77
40.00,0.83
99.00,0.53
83.00,0.46
75.00,0.52
64.00,0.58
55.00,0.82
75.00,0.36
75.00,0.70
69.00,0.50
83.00,0.41
87.00,0.37
91.00,0.44
79.00,0.40
55.00,0.73
27.00,0.99
48.00,0.76
91.00,0.17
84.00,0.42
48.00,0.51
77.00,0.78
71.00,0.87
49.00,0.76
73.00,0.44
102.00,0.19
77.00,0.37
45.00,0.49
76.00,0.38
87.00,0.20
58.00,0.74
74.00,0.66
79.00,0.48
111.00,0.21
98.00,0.20
57.00,0.59
43.00,0.95
46.00,0.74
67.00,0.73
48.00,0.95
76.00,0.28
96.00,0.66
59.00,0.70
87.00,0.30
54.00,0.68
83.00,0.27
81.00,0.79
66.00,0.41
56.00,0.63
85.00,0.34
76.00,0.19
46.00,0.62
44.00,0.86
101.00,0.40
92.00,0.42
39.00,0.95
57.00,0.71
64.00,0.69
75.00,0.23
52.00,0.91
85.00,0.27
52.00,0.96
67.00,0.77
85.00,0.22
88.00,0.38
74.00,0.68
74.00,0.34
99.00,0.40
83.00,0.42
50.00,0.97
50.00,0.86
101.00,0.54
45.00,0.80
51.00,0.48
46.00,0.81
138.00,0.19
44.00,0.81
79.00,0.29
100.00,0.55
81.00,0.17
65.00,0.57
76.00,0.23
64.00,0.49
40.00,0.96
82.00,0.59
45.00,0.88
51.00,0.17
60.00,0.83
35.00,0.95
64.00,0.48
58.00,0.89
111.00,0.37
51.00,0.66
58.00,0.73
89.00,0.26
55.00,0.77
97.00,0.42
38.00,0.79
69.00,0.59
48.00,0.83
46.00,0.98
74.00,0.34
75.00,0.43
60.00,0.53
76.00,0.63
73.00,0.46
82.00,0.37
55.00,0.69
