cases,gamma
76.00,0.38
72.00,0.71
29.00,0.94
74.00,0.23
49.00,0.81
97.00,0.42
84.00,0.48
108.00,0.19
76.00,0.50
44.00,1.00
81.00,0.44
53.00,0.92
51.00,0.87
66.00,0.30
78.00,0.34
75.00,0.35
65.00,0.31
73.00,0.63
94.00,0.42
42.00,0.96
68.00,0.65
74.00,0.43
52.00,0.76
107.00,0.48
103.00,0.19
64.00,0.89
76.00,0.46
56.00,0.54
54.00,1.00
83.00,0.81
79.00,0.70
76.00,0.51
63.00,0.30
78.00,0.46
61.00,0.75
86.00,0.70
102.00,0.29
41.00,0.95
98.00,0.26
95.00,0.19
94.00,0.75
60.00,0.37
92.00,0.39
80.00,0.58
84.00,0.43
73.00,0.54
86.00,0.43
27.00,0.98
43.00,0.98
49.00,0.50
69.00,0.80
70.00,0.53
64.00,0.56
41.00,0.85
75.00,0.53
127.00,0.29
95.00,0.48
50.00,0.91
88.00,0.31
55.00,0.94
40.00,0.93
94.00,0.42
71.00,0.25
40.00,0.97
35.00,0.96
60.00,0.99
41.00,0.97
76.00,0.56
77.00,0.77
81.00,0.45
93.00,0.28
105.00,0.59
60.00,0.55
69.00,0.43
85.00,0.50
75.00,0.58
40.00,0.90
74.00,0.23
61.00,0.75
69.00,0.26
59.00,0.31
49.00,0.64
79.00,0.62
84.00,0.21
70.00,0.73
91.00,0.42
43.00,0.95
37.00,0.87
66.00,0.89
47.00,0.78
100.00,0.18
66.00,0.26
94.00,0.18
91.00,0.26
56.00,0.77
70.00,0.61
63.00,0.22
66.00,0.18
80.00,0.42
59.00,0.18
78.00,0.84
98.00,0.36
78.00,0.69
105.00,0.27
44.00,0.93
58.00,0.61
65.00,0.80
66.00,0.61
85.00,0.33
102.00,0.57
63.00,0.22
52.00,0.83
67.00,0.31
72.00,0.39
82.00,0.52
74.00,0.44
68.00,0.66
68.00,0.56
65.00,0.70
102.00,0.36
42.00,0.72
71.00,0.39
49.00,0.64
121.00,0.38
93.00,0.26
83.00,0.64
47.00,0.96
76.00,0.39
52.00,0.90
32.00,0.98
89.00,0.60
80.00,0.26
87.00,0.63
67.00,0.54
61.00,0.94
71.00,0.39
41.00,0.75
